Mun_id,Municipio,Poblacion_total,Porcentaje_pob_ext,Nacimiento_extranjero,Unión Europea ,Resto de Europa,África,América del Norte,América Central y del Caribe,América del Sur,Otros países de América_x,Asia,Oceanía,Albania,Austria,Belgica,Bulgaria,Chipre,Dinamarca,España,Finlandia,Francia,Grecia,Hungría,Irlanda,Islandia,Italia,Liechtenstein,Luxemburgo,Malta,Mónaco,Noruega,Países Bajos,Polonia,Portugal,Andorra,Reino Unido,Alemania,Rumanía,San Marino,Santa Sede,Suecia,Suiza,Ucrania,Letonia,Moldavia,Belarús,Georgia,Estonia,Lituania,República Checa,Eslovaquia,Bosnia y Herzegovina,Croacia,Eslovenia,Armenia,Rusia,Macedonia,Serbia,Montenegro,Otros países de Europa,Burkina Faso,Angola,Argelia,Benin,Botswana,Burundi,Cabo Verde,Camerún,Comoras,Congo,Costa de Marfil,Djibouti,Egipto,Etiopía,Gabón,Gambia,Ghana,Guinea,Guinea Bissau,Guinea Ecuatorial,Kenia,Lesotho,Liberia,Libia,Madagascar,Malawi,Mali,Marruecos,Mauricio,Mauritania,Mozambique,Namibia,Níger,Nigeria,República Centroafricana,Sudáfrica,Rwanda,Santo Tomé y Príncipe,Senegal,Seychelles,Sierra Leona,Somalia,Sudán,Swazilandia,Tanzania,Chad,Togo,Túnez,Uganda,República Democrática del Congo,Zambia,Zimbabwe,Eritrea,Sudán del Sur,Otros países de África,Canadá,Estados Unidos de América,México,Antigua y Barbuda,Bahamas,Barbados,Belice,Costa Rica,Cuba,Dominica,El Salvador,Granada,Guatemala,Haití,Honduras,Jamaica,Nicaragua,Panamá,San Vicente y Las Granadinas,República Dominicana,Trinidad Y Tobago,Santa Lucía,San Cristobal y Nieves,Argentina,Bolivia,Brasil,Colombia,Chile,Ecuador,Guyana,Paraguay,Perú,Surinám,Uruguay,Venezuela,Otros países de América_y,Afganistán,Arabia Saudita,Bahrein,Bangladesh,Myanmar,China,Emiratos Árabes Unidos,Filipinas,India,Indonesia,Iraq,Irán,Israel,Japón,Jordania,Camboya,Kuwait,Laos,Líbano,Malasia,Maldivas,Mongolia,Nepal,Omán,Pakistán,Qatar,Corea del Sur,Corea del Norte,Singapur,Siria,Sri Lanka,Tailandia,Turquía,Vietnam,Brunei,Islas Marshall,Yemen,Azerbaiyán,Kazajstán,Kirguistán,Tayikistán,Turkmenistán,Uzbekistán,Bhutan,Otros países de Asia,Australia,Fiji,Nueva Zelanda,Papua Nueva Guinea,Islas Salomón,Samoa,Tonga,Vanuatu,Micronesia,Tuvalu,Timor Oriental,Apátridas,Otros países de Oceanía,_merge
0014,Acebeda (La),55,3.6363637,2,54,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,both
0029,Ajalvir,4676,18.028229,843,4103,40,89,39,126,257,0,21,1,0,0,0,5,0,2,263,0,4,0,0,1,0,24,0,0,0,0,0,4,6,5,0,15,10,188,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,58,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,5,0,0,0,0,0,49,1,7,0,0,0,0,0,4,0,0,7,0,0,0,7,5,13,24,6,7,0,3,14,0,1,40,0,0,0,0,0,0,11,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,both
0035,Alameda del Valle,246,14.227642,35,213,1,0,2,0,30,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,both
0040,Alamo (El),9908,19.206701,1903,8366,73,561,22,214,628,0,43,1,3,1,0,9,1,0,612,0,6,1,1,0,0,27,0,0,0,0,0,0,21,15,0,8,1,240,0,0,0,0,30,0,13,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,411,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,1,49,0,2,0,0,0,53,0,7,0,0,23,0,0,0,13,10,23,131,11,23,0,15,26,0,7,48,0,0,0,0,0,0,18,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,both
0053,Alcalá de Henares,195982,19.332897,37889,172830,2351,3972,586,2989,11174,0,2053,27,12,13,11,1104,0,7,10385,1,131,8,38,35,1,597,0,2,0,0,4,48,951,299,0,122,105,10758,0,0,20,15,1346,11,216,6,4,2,6,19,6,4,6,6,21,81,1,20,0,0,0,15,79,2,0,0,8,29,0,18,13,0,12,1,0,22,42,12,106,400,7,0,1,12,0,4,71,1051,0,11,3,0,1,628,1,2,0,0,117,0,3,0,4,0,2,1,0,4,1,11,0,0,2,0,0,29,242,116,0,0,0,1,18,300,2,114,0,24,0,213,3,95,13,0,524,0,0,0,211,77,486,1561,116,353,0,160,637,0,54,1624,0,6,0,0,48,1,1174,0,34,59,1,5,88,2,53,3,0,0,0,2,2,0,4,17,1,118,0,59,1,1,33,6,6,30,7,0,0,11,1,4,1,0,0,3,0,8,7,0,1,0,0,0,0,0,0,0,0,1,0,both
0066,Alcobendas,116589,22.689962,26454,93495,1715,1849,888,3895,12635,0,2085,27,3,22,74,139,1,39,10905,13,470,20,25,44,2,670,0,2,2,0,5,90,100,412,0,398,245,956,0,0,74,57,171,0,18,9,413,1,28,21,2,0,12,3,106,77,1,6,0,0,6,12,43,1,0,0,7,12,0,1,32,0,18,10,1,2,13,6,3,13,8,0,2,17,1,0,10,889,1,2,0,0,1,14,0,5,0,3,26,0,3,37,0,1,0,2,0,5,0,8,0,0,4,0,0,22,169,162,0,0,0,0,13,120,2,432,0,108,3,677,0,215,19,0,601,0,0,0,293,139,349,1142,78,529,0,1131,929,0,24,885,0,3,26,0,29,1,528,0,366,22,15,16,113,53,25,8,2,0,0,6,2,1,0,8,5,29,0,78,0,11,96,0,3,18,28,0,0,6,10,4,0,0,0,0,0,21,3,0,3,0,0,1,0,1,0,0,0,16,0,both
0072,Alcorcón,170817,15.548803,26560,148448,2514,3618,273,2743,11637,0,1540,44,6,8,8,291,0,3,10818,0,55,15,12,21,0,425,0,0,0,0,1,21,232,201,1,56,58,2262,0,0,6,3,1690,5,65,8,33,0,10,6,3,4,11,3,70,74,0,8,2,0,1,28,33,0,0,2,27,40,0,4,16,0,12,0,6,0,47,23,7,228,0,0,1,3,0,1,15,1712,0,1,0,0,0,148,1,3,0,1,29,0,1,0,0,0,0,0,0,10,0,12,0,2,0,0,0,4,70,53,0,0,0,0,7,177,2,59,0,27,2,548,0,140,4,0,463,0,0,0,227,199,186,1212,89,539,0,228,1023,0,45,1154,0,4,2,0,24,0,793,0,26,18,5,13,18,5,14,1,0,0,0,5,0,0,0,1,0,193,0,22,0,0,18,0,2,11,3,0,0,0,1,3,2,1,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,1,0,both
0088,Aldea del Fresno,3085,19.027554,587,2631,16,231,4,24,162,0,17,0,0,0,1,4,0,1,172,0,1,0,0,1,0,6,0,0,0,0,0,0,7,4,0,1,1,93,0,0,0,1,9,0,0,0,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,9,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,4,5,11,5,3,0,7,13,0,2,6,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,both
0091,Algete,20749,17.610487,3654,17951,254,288,134,370,1480,0,266,6,0,9,11,47,0,1,1491,1,61,6,1,9,0,86,0,0,0,0,0,17,18,64,0,98,55,373,0,0,8,8,75,1,3,2,2,0,0,5,1,1,1,4,0,4,0,0,0,0,0,0,2,0,0,0,0,4,0,0,1,0,2,0,0,0,0,0,0,1,1,0,0,8,0,0,0,185,0,1,0,0,0,4,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,22,0,0,0,0,5,39,0,14,0,14,0,57,0,13,3,0,28,0,0,0,60,18,39,109,19,88,0,36,52,0,1,140,0,0,0,0,0,0,101,0,18,9,0,1,8,15,2,0,0,0,0,0,1,0,0,0,0,24,0,5,0,0,2,0,0,8,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,both
0105,Alpedrete,14959,12.58774,1883,13560,134,197,70,172,741,0,81,4,0,0,0,126,0,0,858,0,11,3,1,4,0,32,0,0,0,0,2,7,19,17,0,40,12,170,0,0,1,0,12,0,5,0,1,0,3,1,1,0,0,0,0,12,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,4,0,0,0,0,2,17,0,34,0,5,0,26,0,3,0,0,7,0,0,0,29,5,14,77,4,28,0,29,28,0,1,43,0,0,0,0,1,0,22,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,4,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,both
0112,Ambite,662,20.39275,135,606,1,7,3,13,25,0,6,1,0,0,3,3,0,0,22,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,1,65,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,5,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,both
0127,Anchuelo,1359,10.890361,148,1254,13,22,9,10,45,0,6,0,0,0,0,5,0,0,37,1,1,0,0,1,0,2,0,0,0,0,0,0,2,1,0,0,1,25,0,0,0,0,7,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,1,0,0,0,0,0,0,1,0,2,0,0,0,1,1,1,5,1,1,0,2,3,0,0,13,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,both
0133,Aranjuez,59833,17.375027,10396,51800,315,1804,165,850,4497,0,393,9,1,1,4,154,0,2,3401,2,35,3,13,5,4,258,0,0,0,0,0,11,37,115,0,31,39,1715,0,0,2,1,70,4,8,2,26,0,0,7,1,1,0,4,14,24,0,1,0,0,0,4,30,1,0,0,0,4,0,0,11,0,3,3,0,0,4,10,5,31,1,0,0,3,0,0,3,1220,0,2,1,0,0,16,0,1,0,0,9,0,1,0,0,0,0,0,0,4,0,2,0,0,2,0,1,4,26,37,0,0,1,0,2,121,0,68,0,23,0,167,0,27,2,0,75,0,0,0,101,129,100,631,25,136,0,166,162,0,23,670,0,0,0,0,1,0,238,0,9,16,2,0,5,4,5,0,0,0,0,6,1,0,0,0,0,17,0,6,0,1,7,0,1,2,0,0,0,0,0,4,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,1,0,both
0148,Arganda del Rey,56386,23.431349,13212,50266,333,645,82,688,3385,0,977,10,5,1,9,106,1,0,2941,1,30,0,8,6,0,190,0,0,0,0,0,9,56,111,0,16,16,6412,0,0,2,1,85,0,48,16,5,0,5,6,2,0,2,0,10,20,1,2,0,0,0,0,4,0,0,0,1,0,0,2,0,0,3,1,0,1,9,2,0,8,8,0,0,0,0,0,4,352,0,0,0,0,0,15,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,21,20,0,0,0,0,5,82,0,52,0,6,1,89,0,40,1,0,68,0,0,0,77,36,98,388,14,85,0,74,209,0,35,496,0,1,0,0,3,0,181,0,7,10,8,2,2,1,3,2,0,1,0,0,0,0,0,3,0,510,0,0,0,0,16,2,0,17,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,both
