municipio_codigo;municipio_nombre;sexo;nacionalidad_de_la_madre;numero_nacimientos
001; Acebeda (La);Hombre;África;0
001; Acebeda (La);Hombre;América Central y del Caribe;0
001; Acebeda (La);Hombre;América del Norte;0
001; Acebeda (La);Hombre;América del Sur;0
001; Acebeda (La);Hombre;Apátridas;0
001; Acebeda (La);Hombre;Asia;0
001; Acebeda (La);Hombre;No consta;0
001; Acebeda (La);Hombre;Oceanía;0
001; Acebeda (La);Hombre;Otros países de América;0
001; Acebeda (La);Hombre;Otros países de Europa;0
001; Acebeda (La);Hombre;Unión Europea;0
001; Acebeda (La);Mujer;África;0
001; Acebeda (La);Mujer;América Central y del Caribe;0
001; Acebeda (La);Mujer;América del Norte;0
001; Acebeda (La);Mujer;América del Sur;0
001; Acebeda (La);Mujer;Apátridas;0
001; Acebeda (La);Mujer;Asia;0
001; Acebeda (La);Mujer;No consta;0
001; Acebeda (La);Mujer;Oceanía;0
001; Acebeda (La);Mujer;Otros países de América;0
001; Acebeda (La);Mujer;Otros países de Europa;0
001; Acebeda (La);Mujer;Unión Europea;0
002; Ajalvir;Hombre;África;0
002; Ajalvir;Hombre;América Central y del Caribe;0
002; Ajalvir;Hombre;América del Norte;0
002; Ajalvir;Hombre;América del Sur;0
002; Ajalvir;Hombre;Apátridas;0
002; Ajalvir;Hombre;Asia;0
002; Ajalvir;Hombre;No consta;0
002; Ajalvir;Hombre;Oceanía;0
002; Ajalvir;Hombre;Otros países de América;0
002; Ajalvir;Hombre;Otros países de Europa;0
002; Ajalvir;Hombre;Unión Europea;20
002; Ajalvir;Mujer;África;1
002; Ajalvir;Mujer;América Central y del Caribe;0
002; Ajalvir;Mujer;América del Norte;0
002; Ajalvir;Mujer;América del Sur;0
002; Ajalvir;Mujer;Apátridas;0
002; Ajalvir;Mujer;Asia;0
002; Ajalvir;Mujer;No consta;0
002; Ajalvir;Mujer;Oceanía;0
002; Ajalvir;Mujer;Otros países de América;0
002; Ajalvir;Mujer;Otros países de Europa;0
002; Ajalvir;Mujer;Unión Europea;15
003; Alameda del Valle;Hombre;África;0
003; Alameda del Valle;Hombre;América Central y del Caribe;0
003; Alameda del Valle;Hombre;América del Norte;0
003; Alameda del Valle;Hombre;América del Sur;0
003; Alameda del Valle;Hombre;Apátridas;0
003; Alameda del Valle;Hombre;Asia;0
003; Alameda del Valle;Hombre;No consta;0
003; Alameda del Valle;Hombre;Oceanía;0
003; Alameda del Valle;Hombre;Otros países de América;0
003; Alameda del Valle;Hombre;Otros países de Europa;0
003; Alameda del Valle;Hombre;Unión Europea;0
003; Alameda del Valle;Mujer;África;0
003; Alameda del Valle;Mujer;América Central y del Caribe;0
003; Alameda del Valle;Mujer;América del Norte;0
003; Alameda del Valle;Mujer;América del Sur;0
003; Alameda del Valle;Mujer;Apátridas;0
003; Alameda del Valle;Mujer;Asia;0
003; Alameda del Valle;Mujer;No consta;0
003; Alameda del Valle;Mujer;Oceanía;0
003; Alameda del Valle;Mujer;Otros países de América;0
003; Alameda del Valle;Mujer;Otros países de Europa;0
003; Alameda del Valle;Mujer;Unión Europea;0
004; Álamo (El);Hombre;África;7
004; Álamo (El);Hombre;América Central y del Caribe;0
004; Álamo (El);Hombre;América del Norte;0
004; Álamo (El);Hombre;América del Sur;0
004; Álamo (El);Hombre;Apátridas;0
004; Álamo (El);Hombre;Asia;1
004; Álamo (El);Hombre;No consta;0
004; Álamo (El);Hombre;Oceanía;0
004; Álamo (El);Hombre;Otros países de América;0
004; Álamo (El);Hombre;Otros países de Europa;0
004; Álamo (El);Hombre;Unión Europea;36
004; Álamo (El);Mujer;África;11
004; Álamo (El);Mujer;América Central y del Caribe;0
004; Álamo (El);Mujer;América del Norte;0
004; Álamo (El);Mujer;América del Sur;2
004; Álamo (El);Mujer;Apátridas;0
004; Álamo (El);Mujer;Asia;1
004; Álamo (El);Mujer;No consta;0
004; Álamo (El);Mujer;Oceanía;0
004; Álamo (El);Mujer;Otros países de América;0
004; Álamo (El);Mujer;Otros países de Europa;0
004; Álamo (El);Mujer;Unión Europea;32
005; Alcalá de Henares;Hombre;África;43
005; Alcalá de Henares;Hombre;América Central y del Caribe;10
005; Alcalá de Henares;Hombre;América del Norte;3
005; Alcalá de Henares;Hombre;América del Sur;25
005; Alcalá de Henares;Hombre;Apátridas;0
005; Alcalá de Henares;Hombre;Asia;15
005; Alcalá de Henares;Hombre;No consta;0
005; Alcalá de Henares;Hombre;Oceanía;0
005; Alcalá de Henares;Hombre;Otros países de América;0
005; Alcalá de Henares;Hombre;Otros países de Europa;16
005; Alcalá de Henares;Hombre;Unión Europea;697
005; Alcalá de Henares;Mujer;África;42
005; Alcalá de Henares;Mujer;América Central y del Caribe;4
005; Alcalá de Henares;Mujer;América del Norte;0
005; Alcalá de Henares;Mujer;América del Sur;21
005; Alcalá de Henares;Mujer;Apátridas;0
005; Alcalá de Henares;Mujer;Asia;10
005; Alcalá de Henares;Mujer;No consta;0
005; Alcalá de Henares;Mujer;Oceanía;0
005; Alcalá de Henares;Mujer;Otros países de América;0
005; Alcalá de Henares;Mujer;Otros países de Europa;12
005; Alcalá de Henares;Mujer;Unión Europea;711
006; Alcobendas;Hombre;África;14
006; Alcobendas;Hombre;América Central y del Caribe;19
006; Alcobendas;Hombre;América del Norte;2
006; Alcobendas;Hombre;América del Sur;40
006; Alcobendas;Hombre;Apátridas;0
006; Alcobendas;Hombre;Asia;15
006; Alcobendas;Hombre;No consta;0
006; Alcobendas;Hombre;Oceanía;0
006; Alcobendas;Hombre;Otros países de América;0
006; Alcobendas;Hombre;Otros países de Europa;5
006; Alcobendas;Hombre;Unión Europea;405
006; Alcobendas;Mujer;África;13
006; Alcobendas;Mujer;América Central y del Caribe;21
006; Alcobendas;Mujer;América del Norte;1
006; Alcobendas;Mujer;América del Sur;43
006; Alcobendas;Mujer;Apátridas;0
006; Alcobendas;Mujer;Asia;13
006; Alcobendas;Mujer;No consta;0
006; Alcobendas;Mujer;Oceanía;0
006; Alcobendas;Mujer;Otros países de América;0
006; Alcobendas;Mujer;Otros países de Europa;6
006; Alcobendas;Mujer;Unión Europea;388
007; Alcorcón;Hombre;África;31
007; Alcorcón;Hombre;América Central y del Caribe;12
007; Alcorcón;Hombre;América del Norte;0
007; Alcorcón;Hombre;América del Sur;29
007; Alcorcón;Hombre;Apátridas;0
007; Alcorcón;Hombre;Asia;8
007; Alcorcón;Hombre;No consta;0
007; Alcorcón;Hombre;Oceanía;0
007; Alcorcón;Hombre;Otros países de América;0
007; Alcorcón;Hombre;Otros países de Europa;11
007; Alcorcón;Hombre;Unión Europea;631
007; Alcorcón;Mujer;África;29
007; Alcorcón;Mujer;América Central y del Caribe;8
007; Alcorcón;Mujer;América del Norte;0
007; Alcorcón;Mujer;América del Sur;34
007; Alcorcón;Mujer;Apátridas;0
007; Alcorcón;Mujer;Asia;5
007; Alcorcón;Mujer;No consta;0
007; Alcorcón;Mujer;Oceanía;0
007; Alcorcón;Mujer;Otros países de América;0
007; Alcorcón;Mujer;Otros países de Europa;9
007; Alcorcón;Mujer;Unión Europea;642
008; Aldea del Fresno;Hombre;África;2
008; Aldea del Fresno;Hombre;América Central y del Caribe;0
008; Aldea del Fresno;Hombre;América del Norte;0
008; Aldea del Fresno;Hombre;América del Sur;0
008; Aldea del Fresno;Hombre;Apátridas;0
008; Aldea del Fresno;Hombre;Asia;0
008; Aldea del Fresno;Hombre;No consta;0
008; Aldea del Fresno;Hombre;Oceanía;0
008; Aldea del Fresno;Hombre;Otros países de América;0
008; Aldea del Fresno;Hombre;Otros países de Europa;0
008; Aldea del Fresno;Hombre;Unión Europea;8
008; Aldea del Fresno;Mujer;África;5
008; Aldea del Fresno;Mujer;América Central y del Caribe;0
008; Aldea del Fresno;Mujer;América del Norte;0
008; Aldea del Fresno;Mujer;América del Sur;0
008; Aldea del Fresno;Mujer;Apátridas;0
008; Aldea del Fresno;Mujer;Asia;0
008; Aldea del Fresno;Mujer;No consta;0
008; Aldea del Fresno;Mujer;Oceanía;0
008; Aldea del Fresno;Mujer;Otros países de América;0
008; Aldea del Fresno;Mujer;Otros países de Europa;0
008; Aldea del Fresno;Mujer;Unión Europea;9
009; Algete;Hombre;África;4
009; Algete;Hombre;América Central y del Caribe;1
009; Algete;Hombre;América del Norte;0
009; Algete;Hombre;América del Sur;2
009; Algete;Hombre;Apátridas;0
009; Algete;Hombre;Asia;0
009; Algete;Hombre;No consta;0
009; Algete;Hombre;Oceanía;0
009; Algete;Hombre;Otros países de América;0
009; Algete;Hombre;Otros países de Europa;0
009; Algete;Hombre;Unión Europea;65
009; Algete;Mujer;África;6
009; Algete;Mujer;América Central y del Caribe;2
009; Algete;Mujer;América del Norte;1
009; Algete;Mujer;América del Sur;7
009; Algete;Mujer;Apátridas;0
009; Algete;Mujer;Asia;1
009; Algete;Mujer;No consta;0
009; Algete;Mujer;Oceanía;0
009; Algete;Mujer;Otros países de América;0
009; Algete;Mujer;Otros países de Europa;1
009; Algete;Mujer;Unión Europea;70
010; Alpedrete;Hombre;África;3
010; Alpedrete;Hombre;América Central y del Caribe;0
010; Alpedrete;Hombre;América del Norte;0
010; Alpedrete;Hombre;América del Sur;1
010; Alpedrete;Hombre;Apátridas;0
